Density,n,Wand,AIC,BIC,BR,Knuth,SC,RIH,RMG-B,RMG-R,TS,L2CV,KLCV
1.0,50.0,0.492,0.696,0.25,0.262,0.428,0.63,0.04,0.108,0.052,0.338,1.39,1.034
1.0,200.0,0.514,1.09,0.14,0.19,0.246,0.28,0.0,0.052,0.002,0.012,1.432,0.562
1.0,1000.0,1.124,1.842,0.066,0.356,0.19,0.176,0.0,0.044,0.006,0.0,4.736,2.674
1.0,5000.0,3.166,3.582,0.216,1.538,0.486,0.426,0.0,0.034,0.012,0.002,7.87,6.486
1.0,25000.0,7.394,6.938,0.8,4.326,1.34,1.112,0.0,0.034,0.028,0.004,10.17,9.19
2.0,50.0,1.368,0.654,0.052,0.072,0.108,0.34,0.008,0.168,0.02,0.368,1.954,1.57
2.0,200.0,1.814,0.616,0.012,0.108,0.014,0.05,0.0,0.062,0.004,0.252,3.416,2.06
2.0,1000.0,3.648,0.626,0.0,0.06,0.0,0.0,0.008,0.036,0.012,0.27,7.356,5.65
2.0,5000.0,7.708,0.558,0.0,0.038,0.0,0.0,0.0,0.024,0.0,0.47,9.47,8.598
2.0,25000.0,15.572,0.662,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.34,10.942,9.624
3.0,50.0,4.932,4.516,3.452,3.474,4.308,4.194,2.004,0.738,2.0,0.84,2.382,2.288
3.0,200.0,10.596,7.696,4.824,6.352,6.968,6.36,2.002,0.142,1.988,0.308,2.802,2.134
3.0,1000.0,27.918,19.048,8.706,16.974,14.674,11.84,2.004,0.044,1.132,0.0,3.84,3.124
3.0,5000.0,75.49,54.402,19.5,50.702,33.506,26.298,2.0,0.068,0.004,0.0,5.464,4.604
3.0,25000.0,196.452,154.122,48.028,147.712,83.588,63.848,0.004,0.064,0.008,0.0,4.406,3.25
4.0,50.0,3.082,3.256,2.9,2.894,3.132,3.022,1.804,1.554,1.8,1.062,2.496,2.664
4.0,200.0,8.214,4.148,3.702,3.918,3.958,3.846,1.564,1.39,1.644,0.432,1.716,1.726
4.0,1000.0,20.592,6.088,5.116,5.474,5.424,5.2,1.012,0.74,1.106,0.092,1.726,1.118
4.0,5000.0,52.7,19.38,7.302,14.198,7.708,7.294,0.228,0.062,0.276,0.028,2.554,1.766
4.0,25000.0,168.888,59.098,13.02,56.224,30.608,15.322,0.0,0.054,0.01,0.0,2.682,2.24
5.0,50.0,1.578,1.38,0.874,0.874,1.202,1.212,0.404,0.442,0.402,0.514,2.294,2.016
5.0,200.0,2.978,2.382,0.704,0.936,1.156,1.018,0.028,0.114,0.046,0.026,0.666,0.372
5.0,1000.0,7.386,4.472,1.162,2.536,1.978,1.676,0.0,0.034,0.002,0.0,1.918,1.466
5.0,5000.0,17.622,9.266,2.696,6.878,4.092,3.446,0.0,0.05,0.014,0.0,4.406,3.566
5.0,25000.0,38.554,18.642,5.962,15.826,8.36,6.824,0.0,0.076,0.024,0.0,5.822,5.088
6.0,50.0,2.072,3.29,1.658,1.754,2.676,3.314,1.234,0.752,1.138,0.83,1.762,1.568
6.0,200.0,3.206,6.048,2.872,3.854,4.702,5.812,0.948,0.178,0.592,0.284,3.56,2.38
6.0,1000.0,5.602,17.178,5.074,10.554,8.73,12.602,0.008,0.034,0.004,0.0,5.546,4.376
6.0,5000.0,11.966,52.07,10.422,40.59,21.156,27.398,0.0,0.046,0.01,0.0,7.128,5.172
6.0,25000.0,31.296,153.122,30.11,138.168,57.666,69.232,0.0,0.06,0.026,0.0,7.7,5.202
7.0,50.0,5.832,5.664,5.486,5.488,5.568,5.56,5.204,5.24,5.216,5.076,5.776,5.522
7.0,200.0,5.996,5.32,5.516,5.516,5.306,5.254,4.374,4.26,4.28,3.73,4.688,4.988
7.0,1000.0,5.548,7.412,4.338,4.776,3.988,3.858,3.79,1.864,2.0,0.05,2.146,1.414
7.0,5000.0,12.228,16.064,3.204,12.736,6.936,5.874,0.0,0.074,0.01,0.0,2.62,2.032
7.0,25000.0,38.996,30.568,9.886,26.936,15.29,13.61,0.0,0.066,0.028,0.002,3.64,2.656
